,LN_ID,TARGET,contract_type_ord,gender_ord,num_of_children_ord,INCOME,APPROVED_CREDIT,ANNUITY,PRICE,income_type_ord,education_ord,family_status_ord,housing_type_ord,DAYS_AGE,DAYS_WORK,DAYS_REGISTRATION,DAYS_ID_CHANGE,weekdays_apply_ord,HOUR_APPLY,organization_type_ord,EXT_SCORE_1,EXT_SCORE_2,EXT_SCORE_3,SK_ID_PREV,INST_NUMBER,INST_DAYS,PAY_DAYS,AMT_INST,AMT_PAY,contract_type_prevapp_ord,ANNUITY_PREV_APP,APPLICATION,APPROVED_CREDIT_PREV_APP,AMT_DOWN_PAYMENT,PRICE_PREV_APP,weekdays_apply_prevapp_ord,hour_apply_prevapp_ord,DAYS_DECISION,term_payment_ord,yield_group_ord,FIRST_DRAW,FIRST_DUE,TERMINATION,NFLAG_INSURED_ON_APPROVAL
0,145235,0,1,1,1.0,202500.0,728460.0,44694.0,675000.0,2.0,1,1,1,-15450,-7060,-4654,-3079,2,12,0,0.34124223424865163,0.546629813187537,0.6479768603302221,1642911.0,3.0,-171.0,-176.0,8303.13,8303.13,3.0,8303.13,62955.0,60646.5,6295.5,62955.0,7.0,0,-261.0,0,3.0,365243.0,-231.0,-16.0,1.0
1,156401,0,1,2,2.0,225000.0,640080.0,31261.5,450000.0,1.0,1,1,1,-14391,-2447,-2560,-4653,3,10,1,0.5442237353816128,0.7189332765687295,0.1168672659157136,1157922.0,4.0,-857.0,-859.0,14250.06,14250.06,3.0,14260995.0,64039.5,53032.5,12811.5,64039.5,5.0,1,-978.0,1,1.0,365243.0,-947.0,-850.0,0.0
10,186361,0,1,2,2.0,270000.0,906615.0,30091.5,688500.0,2.0,2,1,1,-11406,-3029,-3078,-3339,3,11,2,0.6351473785780777,0.6806872741164489,0.17456426555726348,2286341.0,3.0,-1869.0,-1883.0,6615.54,6615.54,3.0,6615.54,34353.0,32445.0,3438.0,34353.0,6.0,2,-1964.0,2,2.0,365243.0,-1929.0,-1774.0,0.0
14,255272,0,1,1,1.0,247500.0,622413.0,33894.0,495000.0,1.0,3,2,1,-10271,-1830,-4805,-2831,7,14,3,0.18509031656319225,0.7778864376281709,0.7969726818373722,1683718.0,9.0,-192.0,-200.0,8526285.0,8526285.0,3.0,8526285.0,91791.0,114948.0,4500.0,91791.0,6.0,3,-463.0,3,1.0,365243.0,-432.0,365243.0,0.0
16,123747,1,1,2,1.0,112500.0,720000.0,25506.0,720000.0,1.0,1,1,1,-11212,-793,-3712,-1364,2,16,3,0.647137728556431,0.4199238517649244,0.20092608771597087,2475856.0,16.0,-55.0,-58.0,2623185.0,2623185.0,3.0,2623185.0,57919.5,57919.5,0.0,57919.5,6.0,4,-536.0,4,4.0,365243.0,-505.0,365243.0,0.0
17,161041,0,1,2,1.0,121500.0,900000.0,45954.0,900000.0,1.0,1,1,1,-18999,-2331,-2334,-2533,6,6,2,0.8576803432322806,0.5624719511683713,0.24988506275045536,2541865.0,1.0,-2064.0,-2077.0,4685805.0,4685805.0,3.0,4685805.0,44460.0,43915.5,4500.0,44460.0,1.0,0,-2100.0,5,1.0,365243.0,-2064.0,-1730.0,0.0
20,161282,0,1,1,3.0,135000.0,675000.0,50598.0,675000.0,2.0,1,3,1,-13188,-2166,-7310,-4463,3,10,3,0.5979736611494456,0.7288237195998595,0.7801436381572275,1417760.0,2.0,-2257.0,-2273.0,10056.06,10056.06,3.0,10056.06,166455.0,110385.0,67500.0,166455.0,2.0,5,-2318.0,6,1.0,365243.0,-2287.0,-1893.0,0.0
23,195087,0,1,2,1.0,225000.0,877500.0,28305.0,877500.0,2.0,2,1,1,-12700,-2036,-191,-390,6,7,3,0.4764320604272647,0.4783937750964892,0.3280631605201915,1682922.0,2.0,-894.0,-894.0,71455185.0,71455185.0,3.0,71455185.0,407925.0,335313.0,81585.0,407925.0,3.0,3,-955.0,7,3.0,365243.0,-924.0,-797.0,0.0
26,125430,0,1,1,1.0,112500.0,229500.0,17887.5,229500.0,1.0,1,1,1,-10629,-1198,-2785,-3031,1,11,3,0.6780932689534048,0.5174178290119581,0.511891801533151,1556363.0,1.0,-81.0,-84.0,8917335.0,8917335.0,3.0,8917335.0,56835.0,62838.0,0.0,56835.0,2.0,3,-111.0,0,1.0,365243.0,-81.0,365243.0,1.0
31,178541,0,1,2,1.0,112500.0,370107.0,18895.5,319500.0,1.0,1,3,1,-14253,-3498,-3260,-5070,6,13,4,0.5274109433580422,0.4106158995957355,0.4992720153045617,2712145.0,1.0,-141.0,-152.0,7397775.0,7397775.0,3.0,7397775.0,133186.5,161316.0,0.0,133186.5,3.0,6,-171.0,4,4.0,365243.0,-141.0,365243.0,1.0
